"query","search interest","increase percent"
"teknologi adalah",100,"-20%"
"teknologi informasi",77,"-3%"
"contoh teknologi",65,"-4%"
"perkembangan teknologi",59,"-3%"
"bagaimana",50,"2%"
"teknologi digital",48,"50%"
"teknologi pendidikan",44,"20%"
"jelaskan",38,"-6%"
"teknologi komunikasi",36,"-6%"
"teknologi informasi adalah",25,"0%"
"manfaat teknologi",24,"-10%"
"pengertian teknologi",21,"-10%"
"kemajuan teknologi",20,"-20%"
"apa itu teknologi",20,"10%"
"teknologi pertanian",19,"20%"
"teknologi informasi dan komunikasi",18,"-9%"
"dampak negatif teknologi",18,"-9%"
"inovasi teknologi",18,"30%"
"teknologi pangan",17,"10%"
"dampak positif teknologi",17,"-8%"
"teknologi ai",16,"50%"
"teknologi digital adalah",15,"30%"
"apa yang dimaksud dengan teknologi",14,"-20%"
"globalisasi",14,"-10%"
"teknologi pendidikan adalah",14,"50%"
"gambar teknologi",13,"-3%"
"teknologi terbaru",7,"50%"
"teknologi informasi dan komunikasi adalah",7,"-20%"
"berita teknologi",6,"40%"
"teknologi artinya",6,"-20%"
"pengertian teknologi informasi",5,"-20%"
"teknologi tepat guna",3,"-10%"
"teknologi kayu",3,"70%"
"apa itu teknologi informasi",3,"-5%"
"teknologi pangan adalah",3,"-30%"
"institut teknologi bandung",3,"-9%"
"jurusan teknologi informasi",2,"30%"
"itb",2,"30%"
"sinta",2,"90%"
"institut teknologi indonesia",2,"7%"
"institut teknologi sepuluh nopember",2,"10%"
"teknologi laboratorium medis",2,"40%"
"pengertian teknologi informasi dan komunikasi",2,"-10%"
"universitas teknologi bandung",2,"-6%"
"kementerian pendidikan tinggi sains dan teknologi",1,"130%"
"universitas teknologi digital",1,"30%"
"institut teknologi sumatera",1,"-10%"
"universitas teknologi yogyakarta",1,"0%"
"stanford teknologi indonesia",1,"250%"
"7 kebiasaan anak indonesia hebat",1,"Breakout"
