"query","search interest","increase percent"
"edukasi anak",100,"30%"
"edukasi adalah",78,"-5%"
"edukasi kesehatan",55,"20%"
"contoh edukasi",55,"60%"
"media edukasi",46,"50%"
"jurnal edukasi",41,"70%"
"game edukasi",37,"30%"
"video edukasi",29,"80%"
"wisata edukasi",26,"-20%"
"poster edukasi",18,"40%"
"konten edukasi",17,"50%"
"apa itu edukasi",16,"20%"
"edukasi itu apa",16,"20%"
"gambar edukasi",14,"20%"
"mainan edukasi",14,"-20%"
"arti edukasi",13,"10%"
"web edukasi",13,"-7%"
"pengertian edukasi",11,"30%"
"game edukasi anak",11,"30%"
"film edukasi",11,"20%"
"mainan edukasi anak",10,"-20%"
"website edukasi",10,"-20%"
"edukasi artinya",9,"-1%"
"edukasi hipertensi",9,"20%"
"permainan edukasi",8,"-2%"
"xl edukasi",8,"30%"
"jakarta edukasi",7,"7%"
"taman edukasi",7,"-20%"
"edukasi pajak",6,"40%"
"canva edukasi",6,"3%"
"edukasi tidur cepat",5,"4.500%"
"tujuh kebiasaan anak indonesia hebat",5,"4.050%"
"film edukasi anak",5,"30%"
"video edukasi anak",5,"70%"
"apa arti edukasi",5,"20%"
"portal edukasi",4,"-10%"
"game edukasi online",4,"30%"
"game online",4,"20%"
"games edukasi",4,"10%"
"edukasi anak 3 tahun",4,"20%"
"edukasi terkait tidur cepat",4,"Breakout"
"arti dari edukasi",4,"20%"
"apa cara unik yang anda lakukan untuk menanamkan tujuh kebiasaan anak indonesia hebat di kelas anda",4,"Breakout"
"sinta",3,"100%"
"apa kendala dan tantangan anda dalam mendorong pembiasaan tujuh kebiasaan anak indonesia hebat",3,"Breakout"
"contoh konten edukasi",3,"60%"
"apa saja edukasi kepada siswa yang anda lakukan terkait tidur cepat?",3,"Breakout"
"gambar edukasi anak",3,"4%"
"edukasi kepada siswa terkait tidur cepat",3,"Breakout"
"arti edukasi adalah",3,"-1%"
