"query","search interest","increase percent"
"teknologi adalah",100,"-20%"
"teknologi informasi",75,"-4%"
"teknologi digital",55,"10%"
"teknologi pendidikan",54,"20%"
"perkembangan teknologi",46,"-3%"
"teknologi informasi adalah",26,"-10%"
"institut teknologi",24,"50%"
"teknologi pangan",23,"30%"
"apa itu teknologi",21,"-5%"
"teknologi pendidikan adalah",19,"-10%"
"manfaat teknologi",19,"-20%"
"sistem informasi",18,"-5%"
"dampak negatif teknologi",15,"-20%"
"dampak positif teknologi",15,"-10%"
"perkembangan teknologi informasi",14,"1%"
"pengertian teknologi",13,"-30%"
"pendidikan teknologi informasi",11,"-5%"
"snbt",8,"650%"
"teknologi industri pertanian",7,"5%"
"ugm",6,"120%"
"its",6,"100%"
"institut teknologi bandung",5,"50%"
"jurusan teknologi informasi",5,"80%"
"satu contoh pekerjaan yang berubah karena teknologi digital.",5,"Breakout"
"pekerjaan yang berubah karena teknologi digital",4,"650%"
"jurusan teknologi pangan",4,"150%"
"bioteknologi",4,"-40%"
"institut teknologi sepuluh",4,"50%"
"teknologi kedokteran",4,"40%"
"institut teknologi sepuluh nopember",3,"70%"
"unair",3,"300%"
"undip",3,"250%"
"teknologi industri kimia",3,"70%"
"teknologi laboratorium medis",3,"30%"
"silakan pilih satu contoh pekerjaan yang berubah karena teknologi digital. kemudian kompetensi baru apa yang dibutuhkan? apa dampaknya pada pendidikan tinggi? strategi apa yang sebaiknya dilakukan kampus?",3,"1.450%"
"institut teknologi sumatera",3,"250%"
"teknologi rekayasa manufaktur",3,"300%"
"contoh pekerjaan yang berubah karena teknologi digital",3,"Breakout"
"universitas teknologi bandung",3,"60%"
"uns",2,"150%"
"untuk diskusi pada inisiasi 1 ini, silakan pilih satu contoh pekerjaan yang berubah karena teknologi digital. kemudian kompetensi baru apa yang dibutuhkan? apa dampaknya pada pendidikan tinggi? strategi apa yang sebaiknya dilakukan kampus?",2,"Breakout"
"institut teknologi indonesia",2,"-5%"
"teknologi rekayasa instrumentasi",2,"400%"
"teknologi hasil perikanan",2,"40%"
"unj",2,"Breakout"
"agribisnis",2,"30%"
"teknologi veteriner",2,"170%"
"daya tampung snbt",2,"Breakout"
"teknologi rekayasa perangkat lunak",2,"200%"
"teknologi rekayasa otomasi",2,"500%"
