judul,caption,hashtag,kategori,platform,wilayah,tanggal
Christy mode latihan gak kalah Badas 🤟 #christyjkt48 #jkt48e,Christy mode latihan gak kalah Badas 🤟 #christyjkt48 #jkt48edit #jkt48newera #fyp,#christyjkt48 #jkt48edit #jkt48newera #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
Le apa tadi meng? 🤣 #marsha #marshajkt48 #marshalenathea #jk,Le apa tadi meng? 🤣 #marsha #marshajkt48 #marshalenathea #jkt48 #jkt48newera,#marsha #marshajkt48 #marshalenathea #jkt48 #jkt48newera,Hiburan Viral,TikTok,Indonesia,2026-01-25
WKWK OON😭 #onieljkt48 #indahjkt48 #ollajkt48 #jessijkt48 #fy,WKWK OON😭 #onieljkt48 #indahjkt48 #ollajkt48 #jessijkt48 #fyppage,#onieljkt48 #indahjkt48 #ollajkt48 #jessijkt48 #fyppage,Hiburan Viral,TikTok,Indonesia,2026-01-25
"""Lana : Dai Dai Dai"" #jkt48 #jkt48newera #tiktok #jkt48tv #j","""Lana : Dai Dai Dai"" #jkt48 #jkt48newera #tiktok #jkt48tv #jkt48video #fypシ #fyp #PertaruhanCintaJKT48 #Lanajkt48",#jkt48 #jkt48newera #tiktok #jkt48tv #jkt48video #fypシ #fyp #pertaruhancintajkt48 #lanajkt48,Hiburan Viral,TikTok,Indonesia,2026-01-25
ANTI KARAM😎🔥 #ondahjkt48 #jkt48fight,ANTI KARAM😎🔥 #ondahjkt48 #jkt48fight,#ondahjkt48 #jkt48fight,Hiburan Viral,TikTok,Indonesia,2026-01-25
Aku bisa menyerah juga!🥺#fyp#trend#viral,Aku bisa menyerah juga!🥺#fyp#trend#viral,#fyp #trend #viral,Hiburan Viral,TikTok,Indonesia,2026-01-25
Virgi bersama kapten baru 🤣ka freya day 1 nugas jadi kapten ,Virgi bersama kapten baru 🤣ka freya day 1 nugas jadi kapten itu wkwk #freyajkt48 #virgijkt48 #fyp #4u #xybca,#freyajkt48 #virgijkt48 #fyp #4u #xybca,Hiburan Viral,TikTok,Indonesia,2026-01-25
"Kalau menurut kamu gimana?🎶 Oh ya, jangan lupa main juga ke ","Kalau menurut kamu gimana?🎶 Oh ya, jangan lupa main juga ke pop up store Miku Expo di @kyou.id ! Tinggal bentar lagi nih 😼",#,Hiburan Viral,TikTok,Indonesia,2026-01-25
Raja Hati | PERCIN Ladies Show 28 November #rajahatijkt48 #j,Raja Hati | PERCIN Ladies Show 28 November #rajahatijkt48 #jkt48 #jkt48newera #fyp,#rajahatijkt48 #jkt48 #jkt48newera #fyp,Hiburan Viral,TikTok,Indonesia,2026-01-25
atur sendiri #velocity #foryoupage #viral #trending #perungg,atur sendiri #velocity #foryoupage #viral #trending #perunggu,#velocity #foryoupage #viral #trending #perunggu,Hiburan Viral,TikTok,Indonesia,2026-01-25
FEBRUARI F NYA APA?😛🧡 #fyp#trend#viral,FEBRUARI F NYA APA?😛🧡 #fyp#trend#viral,#fyp #trend #viral,Hiburan Viral,TikTok,Indonesia,2026-01-25
bad gurll#transisimakeup #makeuptransition #trending #masukb,bad gurll#transisimakeup #makeuptransition #trending #masukberanda #fyppppppppppppppppppppppp,#transisimakeup #makeuptransition #trending #masukberanda #fyppppppppppppppppppppppp,Hiburan Viral,TikTok,Indonesia,2026-01-25
